filename,category,betti_1,persistence_entropy_h1,total_persistence_h1,betti_0,euler_mean,euler_std,euler_range,f_dim,lacunarity_mean,junctions,bilateral_symmetry,entropy,multifractal_width,clustering,multiscale_entropy_slope
A_001_cropped.jpg,A,12.0,2.6685,59.9765,45.0,1.0312,7.9745,39.0,1.1637,35.5678,60.0,0.7874,6.9641,0.3913,0.28703703172153644,-0.0261
A_002_cropped.jpg,A,11.0,2.3474,55.6105,54.0,7.0,4.4159,18.0,1.3334,16.4542,93.0,0.7689,6.9455,0.2606,0.2855436047127407,-0.027
A_003_cropped.jpg,A,35.0,3.7119,96.3622,599.0,14.5625,10.8942,37.0,1.4881,9.2813,261.0,0.7964,6.8571,1.114,0.26947637177745265,-0.0169
A_004_cropped.jpg,A,24.0,3.3048,97.739,599.0,7.9688,9.7899,59.0,1.3373,17.0741,203.0,0.7772,6.7604,0.2558,0.272030649852049,-0.0231
A_005_cropped.jpg,A,11.0,2.5365,61.9746,418.0,4.4688,2.8612,13.0,1.3719,14.9502,81.0,0.6991,7.3616,0.4932,0.3305898445735275,-0.0273
A_006_cropped.jpg,A,16.0,2.8239,86.4611,57.0,4.5312,12.9542,76.0,1.3636,16.1995,312.0,0.8895,5.9836,0.2227,0.29665242059596714,-0.0354
A_007_cropped.jpg,A,52.0,3.8289,144.1813,599.0,3.3438,10.5226,51.0,1.4378,11.6575,848.0,0.7407,7.5166,0.1345,0.2604821799521984,-0.0216
A_008_cropped.jpg,A,4.0,1.3494,41.5576,36.0,1.7812,12.0824,66.0,1.3405,16.7382,470.0,0.8048,7.3201,0.2164,0.2600472807091081,-0.0422
A_009_cropped.jpg,A,18.0,3.1929,75.7824,82.0,10.6562,8.8833,61.0,1.4813,9.2857,125.0,0.7232,5.9639,0.4962,0.3297777748464198,0.0272
A_010_cropped.jpg,A,4.0,1.4294,32.3365,267.0,4.0625,3.6991,21.0,1.2429,25.5151,145.0,0.7701,6.127,0.1439,0.2551724118377593,-0.0265
A_011_cropped.jpg,A,24.0,3.1633,98.3946,599.0,5.6562,4.9913,17.0,1.4347,11.8118,126.0,0.8299,6.4549,0.315,0.27777777532823833,-0.0109
A_012_cropped.jpg,A,35.0,3.5482,97.2202,599.0,6.7188,4.8169,17.0,1.4044,12.8947,128.0,0.747,7.3307,1.4725,0.2699652754343292,-0.0173
A_013_cropped.jpg,A,19.0,3.0474,83.7654,411.0,4.7812,5.2899,25.0,1.438,12.5719,214.0,0.6918,6.9763,0.195,0.28245067350752506,-0.007
A_014_cropped.jpg,A,43.0,3.8409,110.269,599.0,14.0938,11.2704,51.0,1.5204,8.308,437.0,0.7668,7.2419,0.5073,0.289855071726786,-0.0291
A_015_cropped.jpg,A,40.0,3.8399,104.6949,599.0,8.8438,5.8047,20.0,1.4534,10.6999,175.0,0.7706,6.68,0.3162,0.3180952360755858,-0.0107
C_001_cropped.jpg,C,98.0,4.6875,155.9757,599.0,9.3125,31.8301,98.0,1.7587,3.2359,1826.0,0.7937,7.7315,1.3879,0.28483631478347554,-0.0637
C_002_cropped.jpg,C,51.0,4.3851,76.0627,599.0,-5.5,4.9937,24.0,1.5167,8.2991,342.0,0.8254,6.8511,0.4057,0.29239765986875355,0.0058
C_003_cropped.jpg,C,85.0,4.6501,135.4911,599.0,11.75,46.2925,201.0,1.7342,3.5854,1020.0,0.9133,6.5653,0.8713,0.28823529380366525,-0.0867
C_004_cropped.jpg,C,94.0,4.5935,135.6174,599.0,0.7188,14.0072,59.0,1.0,533.9769,563.0,0.8549,7.1941,0.6696,0.24195776545893474,-0.0396
C_005_cropped.jpg,C,124.0,4.778,159.6464,599.0,-36.4688,74.7905,247.0,1.938,1.5467,3374.0,0.7772,7.6364,0.8735,0.278370545913729,-0.0592
C_007_cropped.jpg,C,54.0,4.2764,84.743,525.0,3.3125,17.0302,68.0,1.5714,7.758,716.0,0.6188,7.4689,0.7976,0.2605524514889006,-0.049
C_008_cropped.jpg,C,3.0,1.91,11.4554,30.0,0.9688,1.8622,9.0,1.0,1938.9441,44.0,0.8712,5.3406,0.0923,0.24999999368686887,-0.0279
C_009_cropped.jpg,C,35.0,3.9589,82.6406,599.0,0.0,5.2678,28.0,1.3384,20.4042,242.0,0.8266,7.3533,0.3619,0.2681359032684302,-0.0358
C_011_cropped.jpg,C,40.0,4.3283,135.7588,464.0,0.0938,12.6277,48.0,1.4606,10.7238,582.0,0.8323,7.2529,0.3593,0.268613974286724,-0.0466
C_012_cropped.jpg,C,9.0,3.3334,41.8873,76.0,2.1875,7.0109,37.0,1.0,147.5615,109.0,0.8005,7.4483,0.8581,0.25178389141912444,-0.0463
C_013_cropped.jpg,C,18.0,4.4648,95.0089,194.0,7.1875,18.1873,82.0,1.6421,4.8245,394.0,0.8372,6.2637,0.8268,0.29441624282454526,0.0002
C_014_cropped.jpg,C,12.0,4.3148,80.0702,91.0,3.9375,18.0571,91.0,1.5117,8.2584,733.0,0.8288,6.7195,0.3225,0.29013187768662746,-0.0603
C_015_cropped.jpg,C,30.0,3.9732,85.1016,599.0,1.625,4.106,16.0,1.0636,88.0351,119.0,0.7492,7.616,2.1938,0.2950513511199687,-0.0399
C_016_cropped.jpg,C,53.0,4.2979,95.9994,599.0,16.625,14.4455,62.0,1.6891,4.1418,1657.0,0.8304,7.2372,0.2712,0.26661302201662107,-0.0291
C_017_cropped.jpg,C,81.0,4.4216,150.2791,599.0,-0.1875,18.331,70.0,1.6528,4.8525,980.0,0.7606,7.6952,1.0575,0.280498865895126,-0.0516
C_018_cropped.jpg,C,43.0,4.0296,99.4532,599.0,0.3438,5.115,27.0,1.3763,18.1838,124.0,0.8033,7.5089,1.4688,0.2876344060247813,-0.0373
C_019_cropped.jpg,C,51.0,4.1856,97.5525,599.0,0.875,7.8849,47.0,1.3754,15.0599,152.0,0.7915,6.725,1.286,0.282163740627458,-0.0322
Fujifilm X-T4.jpg,C,113.0,4.7558,150.5259,599.0,16.2812,47.3559,167.0,1.8385,2.3945,2114.0,0.7062,7.7412,1.1783,0.2921791231513828,-0.0373
Nikon D40X.jpg,C,8.0,2.4593,33.8061,293.0,1.7812,2.2183,9.0,1.0627,53.8054,53.0,0.9086,4.467,0.171,0.245283013725723,-0.0117
Panasonic DMC-GX8.jpg,C,64.0,4.4438,95.8758,599.0,-0.8125,7.3376,34.0,1.2929,21.6746,288.0,0.8139,7.0613,0.4751,0.28587962852669896,-0.0282
