filename,category,filter_type,bilateral_symmetry,lr_imbalance
DALLE3_image_0000229.jpg,dalle3_sfhq,raw,0.8268,0.0752
DALLE3_image_0000229.jpg,dalle3_sfhq,topographic,0.6042,0.0178
DALLE3_image_0000229.jpg,dalle3_sfhq,edge,0.9,0.0082
DALLE3_image_0000052.jpg,dalle3_sfhq,raw,0.8052,0.0172
DALLE3_image_0000052.jpg,dalle3_sfhq,topographic,0.5341,0.0379
DALLE3_image_0000052.jpg,dalle3_sfhq,edge,0.8898,0.0394
DALLE3_image_0000564.jpg,dalle3_sfhq,raw,0.7044,0.2452
DALLE3_image_0000564.jpg,dalle3_sfhq,topographic,0.5526,0.0369
DALLE3_image_0000564.jpg,dalle3_sfhq,edge,0.8563,0.0556
DALLE3_image_0000502.jpg,dalle3_sfhq,raw,0.8173,0.0208
DALLE3_image_0000502.jpg,dalle3_sfhq,topographic,0.6234,0.0398
DALLE3_image_0000502.jpg,dalle3_sfhq,edge,0.9564,0.0126
DALLE3_image_0000458.jpg,dalle3_sfhq,raw,0.6905,0.2115
DALLE3_image_0000458.jpg,dalle3_sfhq,topographic,0.5124,0.1271
DALLE3_image_0000458.jpg,dalle3_sfhq,edge,0.7192,0.1695
DALLE3_image_0000286.jpg,dalle3_sfhq,raw,0.7289,0.1988
DALLE3_image_0000286.jpg,dalle3_sfhq,topographic,0.5744,0.0053
DALLE3_image_0000286.jpg,dalle3_sfhq,edge,0.9089,0.0195
DALLE3_image_0000210.jpg,dalle3_sfhq,raw,0.8253,0.0997
DALLE3_image_0000210.jpg,dalle3_sfhq,topographic,0.5716,0.0135
DALLE3_image_0000210.jpg,dalle3_sfhq,edge,0.8946,0.0757
DALLE3_image_0000179.jpg,dalle3_sfhq,raw,0.8246,0.0369
DALLE3_image_0000179.jpg,dalle3_sfhq,topographic,0.5547,0.0191
DALLE3_image_0000179.jpg,dalle3_sfhq,edge,0.9201,0.0307
DALLE3_image_0000865.jpg,dalle3_sfhq,raw,0.7671,0.2084
DALLE3_image_0000865.jpg,dalle3_sfhq,topographic,0.7382,0.0598
DALLE3_image_0000865.jpg,dalle3_sfhq,edge,0.9246,0.0106
DALLE3_image_0000066.jpg,dalle3_sfhq,raw,0.7261,0.1571
DALLE3_image_0000066.jpg,dalle3_sfhq,topographic,0.5877,0.0342
DALLE3_image_0000066.jpg,dalle3_sfhq,edge,0.9155,0.0402
DALLE3_image_0000062.jpg,dalle3_sfhq,raw,0.6544,0.3212
DALLE3_image_0000062.jpg,dalle3_sfhq,topographic,0.6759,0.0842
DALLE3_image_0000062.jpg,dalle3_sfhq,edge,0.9001,0.0239
DALLE3_image_0000192.jpg,dalle3_sfhq,raw,0.7792,0.1587
DALLE3_image_0000192.jpg,dalle3_sfhq,topographic,0.6112,0.0704
DALLE3_image_0000192.jpg,dalle3_sfhq,edge,0.9189,0.0178
DALLE3_image_0000448.jpg,dalle3_sfhq,raw,0.7069,0.0638
DALLE3_image_0000448.jpg,dalle3_sfhq,topographic,0.5479,0.0389
DALLE3_image_0000448.jpg,dalle3_sfhq,edge,0.8685,0.0275
DALLE3_image_0000477.jpg,dalle3_sfhq,raw,0.8043,0.1899
DALLE3_image_0000477.jpg,dalle3_sfhq,topographic,0.6915,0.1395
DALLE3_image_0000477.jpg,dalle3_sfhq,edge,0.8944,0.0835
DALLE3_image_0001035.jpg,dalle3_sfhq,raw,0.6625,0.2845
DALLE3_image_0001035.jpg,dalle3_sfhq,topographic,0.6278,0.058
DALLE3_image_0001035.jpg,dalle3_sfhq,edge,0.9198,0.0242
DALLE3_image_0000055.jpg,dalle3_sfhq,raw,0.8106,0.0122
DALLE3_image_0000055.jpg,dalle3_sfhq,topographic,0.5468,0.0318
DALLE3_image_0000055.jpg,dalle3_sfhq,edge,0.875,0.0084
DALLE3_image_0000408.jpg,dalle3_sfhq,raw,0.7549,0.1509
DALLE3_image_0000408.jpg,dalle3_sfhq,topographic,0.6065,0.0652
DALLE3_image_0000408.jpg,dalle3_sfhq,edge,0.8971,0.0631
DALLE3_image_0000860.jpg,dalle3_sfhq,raw,0.784,0.1271
DALLE3_image_0000860.jpg,dalle3_sfhq,topographic,0.5705,0.0347
DALLE3_image_0000860.jpg,dalle3_sfhq,edge,0.8298,0.0375
DALLE3_image_0000452.jpg,dalle3_sfhq,raw,0.8332,0.012
DALLE3_image_0000452.jpg,dalle3_sfhq,topographic,0.5508,0.0485
DALLE3_image_0000452.jpg,dalle3_sfhq,edge,0.8914,0.02
DALLE3_image_0000920.jpg,dalle3_sfhq,raw,0.7161,0.055
DALLE3_image_0000920.jpg,dalle3_sfhq,topographic,0.5416,0.0638
DALLE3_image_0000920.jpg,dalle3_sfhq,edge,0.7987,0.0874
DALLE3_image_0000570.jpg,dalle3_sfhq,raw,0.8111,0.1359
DALLE3_image_0000570.jpg,dalle3_sfhq,topographic,0.5985,0.0169
DALLE3_image_0000570.jpg,dalle3_sfhq,edge,0.8747,0.0079
DALLE3_image_0000014.jpg,dalle3_sfhq,raw,0.7604,0.0048
DALLE3_image_0000014.jpg,dalle3_sfhq,topographic,0.5825,0.0084
DALLE3_image_0000014.jpg,dalle3_sfhq,edge,0.8721,0.0244
DALLE3_image_0000327.jpg,dalle3_sfhq,raw,0.8018,0.0128
