filename,category,filter_type,bilateral_symmetry,lr_imbalance
SDXL_image_0014185.jpg,diffusion_sfhq,raw,0.7641,0.0156
SDXL_image_0014185.jpg,diffusion_sfhq,topographic,0.5795,0.0115
SDXL_image_0014185.jpg,diffusion_sfhq,edge,0.9149,0.008
FLUX1_schnell_image_0002990.jpg,diffusion_sfhq,raw,0.7307,0.0553
FLUX1_schnell_image_0002990.jpg,diffusion_sfhq,topographic,0.5674,0.0389
FLUX1_schnell_image_0002990.jpg,diffusion_sfhq,edge,0.8854,0.0457
FLUX1_dev_image_0002156.jpg,diffusion_sfhq,raw,0.8555,0.0842
FLUX1_dev_image_0002156.jpg,diffusion_sfhq,topographic,0.5937,0.0148
FLUX1_dev_image_0002156.jpg,diffusion_sfhq,edge,0.8907,0.0121
SDXL_image_0027583.jpg,diffusion_sfhq,raw,0.7739,0.1399
SDXL_image_0027583.jpg,diffusion_sfhq,topographic,0.6065,0.0128
SDXL_image_0027583.jpg,diffusion_sfhq,edge,0.8052,0.0077
FLUX1_schnell_image_0024453.jpg,diffusion_sfhq,raw,0.7983,0.0194
FLUX1_schnell_image_0024453.jpg,diffusion_sfhq,topographic,0.5244,0.0431
FLUX1_schnell_image_0024453.jpg,diffusion_sfhq,edge,0.8503,0.0436
FLUX1_schnell_image_0020502.jpg,diffusion_sfhq,raw,0.8379,0.0069
FLUX1_schnell_image_0020502.jpg,diffusion_sfhq,topographic,0.5522,0.0159
FLUX1_schnell_image_0020502.jpg,diffusion_sfhq,edge,0.8289,0.0335
FLUX1_schnell_image_0017659.jpg,diffusion_sfhq,raw,0.8461,0.0478
FLUX1_schnell_image_0017659.jpg,diffusion_sfhq,topographic,0.5321,0.0846
FLUX1_schnell_image_0017659.jpg,diffusion_sfhq,edge,0.8198,0.0209
FLUX1_schnell_image_0006687.jpg,diffusion_sfhq,raw,0.7823,0.0868
FLUX1_schnell_image_0006687.jpg,diffusion_sfhq,topographic,0.5641,0.0461
FLUX1_schnell_image_0006687.jpg,diffusion_sfhq,edge,0.9177,0.0098
SDXL_image_0026917.jpg,diffusion_sfhq,raw,0.8048,0.1215
SDXL_image_0026917.jpg,diffusion_sfhq,topographic,0.5931,0.03
SDXL_image_0026917.jpg,diffusion_sfhq,edge,0.8642,0.044
FLUX1_schnell_image_0001831.jpg,diffusion_sfhq,raw,0.7947,0.1117
FLUX1_schnell_image_0001831.jpg,diffusion_sfhq,topographic,0.5916,0.0702
FLUX1_schnell_image_0001831.jpg,diffusion_sfhq,edge,0.8094,0.0815
SDXL_image_0019076.jpg,diffusion_sfhq,raw,0.7829,0.0606
SDXL_image_0019076.jpg,diffusion_sfhq,topographic,0.5536,0.0103
SDXL_image_0019076.jpg,diffusion_sfhq,edge,0.8079,0.0451
SDXL_image_0027467.jpg,diffusion_sfhq,raw,0.8219,0.0034
SDXL_image_0027467.jpg,diffusion_sfhq,topographic,0.5212,0.0731
SDXL_image_0027467.jpg,diffusion_sfhq,edge,0.8193,0.0418
SDXL_image_0047340.jpg,diffusion_sfhq,raw,0.7364,0.0974
SDXL_image_0047340.jpg,diffusion_sfhq,topographic,0.5748,0.0819
SDXL_image_0047340.jpg,diffusion_sfhq,edge,0.7608,0.1248
SDXL_image_0001845.jpg,diffusion_sfhq,raw,0.8379,0.0152
SDXL_image_0001845.jpg,diffusion_sfhq,topographic,0.6181,0.0231
SDXL_image_0001845.jpg,diffusion_sfhq,edge,0.9049,0.0517
FLUX1_pro_image_0003000.jpg,diffusion_sfhq,raw,0.6689,0.2859
FLUX1_pro_image_0003000.jpg,diffusion_sfhq,topographic,0.5829,0.067
FLUX1_pro_image_0003000.jpg,diffusion_sfhq,edge,0.8348,0.0444
SDXL_image_0007765.jpg,diffusion_sfhq,raw,0.8967,0.0057
SDXL_image_0007765.jpg,diffusion_sfhq,topographic,0.6417,0.0894
SDXL_image_0007765.jpg,diffusion_sfhq,edge,0.8575,0.0439
FLUX1_schnell_image_0043724.jpg,diffusion_sfhq,raw,0.696,0.232
FLUX1_schnell_image_0043724.jpg,diffusion_sfhq,topographic,0.5477,0.0026
FLUX1_schnell_image_0043724.jpg,diffusion_sfhq,edge,0.8473,0.0276
FLUX1_dev_image_0003043.jpg,diffusion_sfhq,raw,0.8391,0.123
FLUX1_dev_image_0003043.jpg,diffusion_sfhq,topographic,0.6719,0.0556
FLUX1_dev_image_0003043.jpg,diffusion_sfhq,edge,0.878,0.0252
FLUX1_dev_image_0002783.jpg,diffusion_sfhq,raw,0.7846,0.1342
FLUX1_dev_image_0002783.jpg,diffusion_sfhq,topographic,0.5798,0.0122
FLUX1_dev_image_0002783.jpg,diffusion_sfhq,edge,0.874,0.0244
FLUX1_schnell_image_0000677.jpg,diffusion_sfhq,raw,0.8198,0.1017
FLUX1_schnell_image_0000677.jpg,diffusion_sfhq,topographic,0.5969,0.0318
