category,filter_type,bilateral_symmetry,lr_imbalance,multifractal_width,entropy,junctions
ai_faces_1k,edge,0.7087,0.0092,0.8714,2.8115,1185
ai_faces_1k,edge,0.9067,0.008,1.3274,1.1415,316
ai_faces_1k,edge,0.8612,0.0344,1.1183,1.5988,525
ai_faces_1k,edge,0.8522,0.0289,1.7181,1.5659,473
ai_faces_1k,edge,0.8335,0.0433,0.7825,1.6359,451
ai_faces_1k,edge,0.8598,0.0238,1.7088,1.3819,342
ai_faces_1k,edge,0.7538,0.0758,0.4823,2.1675,592
ai_faces_1k,edge,0.8409,0.0188,0.8519,1.7008,485
ai_faces_1k,edge,0.6895,0.0232,1.2763,2.9683,1224
ai_faces_1k,edge,0.8135,0.1039,0.9342,1.6509,530
ai_faces_1k,edge,0.868,0.0114,1.6377,1.51,396
ai_faces_1k,edge,0.8768,0.034,1.5385,1.3487,441
ai_faces_1k,edge,0.7956,0.0205,0.7137,2.0558,743
ai_faces_1k,edge,0.8226,0.0673,1.8099,1.7672,585
ai_faces_1k,edge,0.9138,0.0129,1.432,1.0652,251
ai_faces_1k,edge,0.8128,0.0022,1.6193,2.0431,752
ai_faces_1k,edge,0.8236,0.0238,0.9735,1.7883,495
ai_faces_1k,edge,0.7655,0.0262,1.3689,2.5147,961
ai_faces_1k,edge,0.82,0.0953,1.2882,1.6093,576
ai_faces_1k,edge,0.7181,0.013,0.891,2.7124,1055
ai_faces_1k,edge,0.9158,0.0133,0.4642,1.2155,299
ai_faces_1k,edge,0.8562,0.0093,1.2026,1.695,634
ai_faces_1k,edge,0.6986,0.0751,1.0888,2.6342,1011
ai_faces_1k,edge,0.8897,0.0246,1.4404,1.2788,316
ai_faces_1k,edge,0.7386,0.0453,1.3125,2.2045,775
ai_faces_1k,edge,0.8577,0.0005,1.7211,1.6473,474
ai_faces_1k,edge,0.8605,0.0263,1.098,1.5556,517
ai_faces_1k,edge,0.8867,0.0181,1.6591,1.3422,411
ai_faces_1k,edge,0.7784,0.0812,0.634,2.1937,895
ai_faces_1k,edge,0.7815,0.0028,1.7711,2.0744,578
ai_faces_1k,edge,0.8537,0.0009,1.6797,1.5397,490
ai_faces_1k,edge,0.8807,0.0247,1.3904,1.2556,353
ai_faces_1k,edge,0.8693,0.0372,1.024,1.4112,440
ai_faces_1k,edge,0.8754,0.017,0.7102,1.607,422
ai_faces_1k,edge,0.7554,0.0513,0.8507,2.5617,827
ai_faces_1k,edge,0.8709,0.001,0.8966,1.418,465
ai_faces_1k,edge,0.8298,0.0236,0.7485,1.8095,492
ai_faces_1k,edge,0.852,0.0241,1.8043,1.723,615
ai_faces_1k,edge,0.838,0.0617,1.2989,1.6827,615
ai_faces_1k,edge,0.7306,0.0329,1.6667,2.8404,1353
ai_faces_1k,edge,0.8011,0.0172,0.5368,1.9788,561
ai_faces_1k,edge,0.8532,0.0564,0.945,1.4875,410
ai_faces_1k,edge,0.7506,0.0368,1.2774,2.4717,919
ai_faces_1k,edge,0.8448,0.04,1.496,1.706,551
ai_faces_1k,edge,0.9094,0.007,1.6166,1.1506,237
ai_faces_1k,edge,0.8062,0.0279,1.609,1.9401,566
ai_faces_1k,edge,0.8646,0.0099,1.4918,1.7104,673
ai_faces_1k,edge,0.7397,0.0373,0.9267,2.3055,888
ai_faces_1k,edge,0.8665,0.0239,1.2125,1.6154,424
ai_faces_1k,edge,0.8816,0.0119,1.7767,1.4934,512
ai_faces_1k,edge,0.8625,0.0476,1.5462,1.3733,401
ai_faces_1k,edge,0.6653,0.0908,0.7886,3.0733,1376
ai_faces_1k,edge,0.7849,0.0145,1.6387,2.1063,668
ai_faces_1k,edge,0.8196,0.0064,1.5778,2.063,730
ai_faces_1k,edge,0.8687,0.0608,1.4001,1.4295,508
ai_faces_1k,edge,0.8167,0.0074,1.6493,1.797,467
ai_faces_1k,edge,0.8323,0.0168,0.8255,2.068,905
ai_faces_1k,edge,0.8752,0.0435,1.5663,1.2906,401
ai_faces_1k,edge,0.7387,0.0663,1.7809,2.3919,719
ai_faces_1k,edge,0.8877,0.0055,1.571,1.2806,282
ai_faces_1k,edge,0.8113,0.0728,1.1321,1.8922,543
ai_faces_1k,edge,0.7264,0.0117,1.3228,2.7041,1052
ai_faces_1k,edge,0.8747,0.0114,1.381,1.5766,398
ai_faces_1k,edge,0.7896,0.06,1.2532,1.929,609
ai_faces_1k,edge,0.7292,0.13,1.5826,2.3326,821
ai_faces_1k,edge,0.894,0.0366,0.9714,1.2251,296
ai_faces_1k,edge,0.9006,0.0077,1.6036,1.3311,416
ai_faces_1k,edge,0.8569,0.0344,1.3481,1.5502,356
ai_faces_1k,edge,0.86,0.0186,1.3451,1.593,449
ai_faces_1k,edge,0.8441,0.0485,1.504,1.6924,573
ai_faces_1k,edge,0.7714,0.1121,0.8511,1.9572,704
ai_faces_1k,edge,0.8844,0.012,1.5597,1.3676,385
ai_faces_1k,edge,0.8931,0.0019,1.485,1.2666,282
ai_faces_1k,edge,0.8735,0.0046,1.8063,1.6851,574
ai_faces_1k,edge,0.6837,0.0736,1.4056,2.9047,1340
ai_faces_1k,edge,0.8596,0.0571,0.827,1.5178,470
ai_faces_1k,edge,0.8302,0.0163,1.6378,1.8083,600
ai_faces_1k,edge,0.7936,0.0252,1.0386,2.1562,770
ai_faces_1k,edge,0.8931,0.0287,1.4187,1.2338,260
ai_faces_1k,edge,0.8982,0.0009,1.4144,1.2633,309
ai_faces_1k,edge,0.856,0.0191,1.1457,1.7509,694
ai_faces_1k,edge,0.6994,0.022,1.5031,2.7517,1119
ai_faces_1k,edge,0.8477,0.0278,1.6392,1.7123,561
ai_faces_1k,edge,0.8181,0.0722,0.6574,1.6753,643
ai_faces_1k,edge,0.7133,0.054,1.3665,2.7692,1174
ai_faces_1k,edge,0.8676,0.0013,1.7342,1.6881,458
ai_faces_1k,edge,0.8833,0.0199,1.6284,1.3682,416
ai_faces_1k,edge,0.7961,0.0468,0.7771,2.2813,758
ai_faces_1k,edge,0.807,0.0007,0.9865,2.0075,589
ai_faces_1k,edge,0.7872,0.0057,0.812,2.1991,820
ai_faces_1k,edge,0.7865,0.0241,1.0763,2.1874,685
ai_faces_1k,edge,0.833,0.0307,0.8486,1.509,440
ai_faces_1k,edge,0.8345,0.0067,1.4829,1.7038,380
ai_faces_1k,edge,0.8544,0.0347,1.5818,1.5093,354
ai_faces_1k,edge,0.9196,0.0115,0.962,1.0569,150
ai_faces_1k,edge,0.8431,0.0368,1.7384,1.5423,417
ai_faces_1k,edge,0.9047,0.0023,1.3864,1.1834,293
