category,filter_type,bilateral_symmetry,lr_imbalance,multifractal_width,entropy,junctions
ai_faces_1k,raw,0.8578,0.0361,0.2741,7.76,2091
ai_faces_1k,raw,0.721,0.2202,0.3823,7.4841,625
ai_faces_1k,raw,0.8988,0.0567,0.5087,7.4927,1187
ai_faces_1k,raw,0.8147,0.0793,0.7582,6.7104,601
ai_faces_1k,raw,0.7896,0.0577,1.8212,7.819,1043
ai_faces_1k,raw,0.8384,0.0103,0.3329,7.3963,688
ai_faces_1k,raw,0.8734,0.0765,0.4027,6.8776,2061
ai_faces_1k,raw,0.6623,0.0684,0.5812,7.3133,1467
ai_faces_1k,raw,0.8603,0.0618,0.3226,7.7658,3437
ai_faces_1k,raw,0.6739,0.2759,0.1615,7.5834,1213
ai_faces_1k,raw,0.7938,0.0514,0.609,7.2297,1163
ai_faces_1k,raw,0.8097,0.1747,0.1923,7.3691,832
ai_faces_1k,raw,0.8484,0.0818,0.7981,7.5746,1472
ai_faces_1k,raw,0.8624,0.0407,0.3202,7.4653,1544
ai_faces_1k,raw,0.9326,0.0139,0.1342,6.9493,463
ai_faces_1k,raw,0.8931,0.0244,0.3754,7.6208,2154
ai_faces_1k,raw,0.7832,0.01,0.3376,7.5316,824
ai_faces_1k,raw,0.8485,0.1145,0.2697,7.736,1926
ai_faces_1k,raw,0.9001,0.0462,0.3477,7.1064,1948
ai_faces_1k,raw,0.847,0.0294,0.4018,7.7016,2072
ai_faces_1k,raw,0.9416,0.0301,1.0552,6.6476,879
ai_faces_1k,raw,0.896,0.0581,0.3356,7.106,1248
ai_faces_1k,raw,0.888,0.0441,0.2813,7.1468,3381
ai_faces_1k,raw,0.8202,0.1662,0.2995,7.45,733
ai_faces_1k,raw,0.7793,0.0914,0.7344,7.5439,1117
ai_faces_1k,raw,0.8398,0.058,0.9124,7.7194,1003
ai_faces_1k,raw,0.8255,0.064,0.209,7.3382,880
ai_faces_1k,raw,0.8838,0.0151,0.7676,7.4278,1035
ai_faces_1k,raw,0.8501,0.0991,0.1777,7.3627,1724
ai_faces_1k,raw,0.7507,0.2341,0.4191,7.7327,2614
ai_faces_1k,raw,0.8852,0.0404,0.2656,7.0801,850
ai_faces_1k,raw,0.6926,0.261,0.3024,7.2108,962
ai_faces_1k,raw,0.7542,0.2248,0.2285,7.2713,769
ai_faces_1k,raw,0.8952,0.0521,2.0002,7.7285,1019
ai_faces_1k,raw,0.8315,0.0092,0.1868,7.5832,2389
ai_faces_1k,raw,0.9213,0.0159,0.1142,6.6589,1183
ai_faces_1k,raw,0.7619,0.0815,2.1866,7.459,1267
ai_faces_1k,raw,0.8633,0.0813,0.5442,7.4288,975
ai_faces_1k,raw,0.7008,0.0205,0.1702,7.7018,1101
ai_faces_1k,raw,0.8413,0.0099,0.6612,7.6402,2049
ai_faces_1k,raw,0.8985,0.0168,0.3886,7.3276,1676
ai_faces_1k,raw,0.8286,0.0801,0.8098,7.3477,1460
ai_faces_1k,raw,0.838,0.0864,0.4477,7.6927,1882
ai_faces_1k,raw,0.8654,0.0323,0.6273,7.4738,1021
ai_faces_1k,raw,0.8213,0.1272,0.5694,7.2918,637
ai_faces_1k,raw,0.8919,0.0455,0.2444,7.409,1311
