category,filter_type,bilateral_symmetry,lr_imbalance,multifractal_width,entropy,junctions
ai_faces_1k,topographic,0.5772,0.0187,3.4746,6.1278,9359
ai_faces_1k,topographic,0.5981,0.0075,3.2862,5.6659,7721
ai_faces_1k,topographic,0.5885,0.012,3.4925,6.238,9948
ai_faces_1k,topographic,0.5822,0.0931,0.411,4.9647,6577
ai_faces_1k,topographic,0.58,0.014,3.4484,5.8678,7464
ai_faces_1k,topographic,0.5666,0.0931,3.3073,5.542,6559
ai_faces_1k,topographic,0.5892,0.0604,3.4153,6.2671,10591
ai_faces_1k,topographic,0.5862,0.0511,2.7996,5.5485,7495
ai_faces_1k,topographic,0.5947,0.005,3.2868,6.0866,9228
ai_faces_1k,topographic,0.5935,0.122,2.6696,5.418,6560
ai_faces_1k,topographic,0.6026,0.0316,3.2559,5.5595,6941
ai_faces_1k,topographic,0.5859,0.0383,3.2543,5.4984,7227
ai_faces_1k,topographic,0.5826,0.0136,3.3748,5.8745,7844
ai_faces_1k,topographic,0.6027,0.1168,1.5025,5.2499,6713
ai_faces_1k,topographic,0.6792,0.0031,1.4361,4.9112,5733
ai_faces_1k,topographic,0.5946,0.0103,3.4313,6.2094,10246
ai_faces_1k,topographic,0.5691,0.0307,3.4008,6.0628,9455
ai_faces_1k,topographic,0.5874,0.0622,3.3979,6.1807,10048
ai_faces_1k,topographic,0.6325,0.0844,2.7151,5.3891,7087
ai_faces_1k,topographic,0.5924,0.0354,3.5344,6.2911,10658
ai_faces_1k,topographic,0.6649,0.0269,1.6239,5.1864,6565
ai_faces_1k,topographic,0.6535,0.0124,3.0157,5.2549,7184
ai_faces_1k,topographic,0.5924,0.0236,3.4555,6.2698,9771
ai_faces_1k,topographic,0.5906,0.021,3.414,5.9446,8138
ai_faces_1k,topographic,0.5699,0.0034,3.3869,6.1368,9585
ai_faces_1k,topographic,0.5903,0.0071,3.13,5.6414,7644
ai_faces_1k,topographic,0.6033,0.0626,2.6077,5.4467,6692
ai_faces_1k,topographic,0.5943,0.0094,3.4271,6.2149,10480
ai_faces_1k,topographic,0.5798,0.0194,3.3558,6.1444,10896
ai_faces_1k,topographic,0.605,0.0371,3.333,6.0501,9070
ai_faces_1k,topographic,0.6228,0.0774,1.4224,5.1059,6408
ai_faces_1k,topographic,0.5943,0.0971,1.1943,5.2138,6307
ai_faces_1k,topographic,0.6162,0.1446,1.4111,5.0706,6569
ai_faces_1k,topographic,0.6366,0.0322,3.2837,5.6331,7132
ai_faces_1k,topographic,0.5817,0.0557,3.4675,6.2901,10871
ai_faces_1k,topographic,0.6403,0.0217,3.2051,5.3297,6938
ai_faces_1k,topographic,0.6001,0.0305,2.5125,5.7623,7381
ai_faces_1k,topographic,0.6468,0.0119,1.9739,5.3939,7330
ai_faces_1k,topographic,0.5796,0.0705,2.0269,6.0169,8825
ai_faces_1k,topographic,0.5907,0.0086,3.5663,6.189,10117
ai_faces_1k,topographic,0.6224,0.054,3.1493,5.6494,8399
ai_faces_1k,topographic,0.5601,0.0714,3.3437,5.987,9095
ai_faces_1k,topographic,0.5751,0.0313,3.4508,6.0495,9105
ai_faces_1k,topographic,0.6227,0.0122,3.2126,5.5337,7194
ai_faces_1k,topographic,0.615,0.0877,3.0896,5.3076,7439
ai_faces_1k,topographic,0.6057,0.0201,2.8013,5.7168,7935
ai_faces_1k,topographic,0.6296,0.0655,3.2247,5.6199,7285
ai_faces_1k,topographic,0.5875,0.0402,3.4152,6.2871,10591
ai_faces_1k,topographic,0.5898,0.0337,2.3548,5.9198,9000
ai_faces_1k,topographic,0.6738,0.0218,2.3505,5.0842,6811
ai_faces_1k,topographic,0.6006,0.1142,3.0529,5.3444,7308
ai_faces_1k,topographic,0.5779,0.0401,3.4413,6.085,8800
ai_faces_1k,topographic,0.6029,0.0263,3.3639,5.972,7614
ai_faces_1k,topographic,0.5922,0.0243,3.4651,6.0492,8845
ai_faces_1k,topographic,0.6022,0.0348,1.7549,5.5724,7885
ai_faces_1k,topographic,0.5647,0.0606,3.3389,6.0715,8342
ai_faces_1k,topographic,0.5955,0.0049,3.5038,6.0742,9854
ai_faces_1k,topographic,0.5867,0.0603,3.0366,5.4525,6750
ai_faces_1k,topographic,0.5897,0.048,3.2757,5.9968,8090
ai_faces_1k,topographic,0.6141,0.0197,3.3076,5.7795,8375
ai_faces_1k,topographic,0.6196,0.083,1.4875,5.3974,8037
ai_faces_1k,topographic,0.5906,0.0003,3.5038,6.2312,10273
ai_faces_1k,topographic,0.6477,0.0132,3.145,5.3233,6844
ai_faces_1k,topographic,0.582,0.0515,3.1979,5.8276,8390
ai_faces_1k,topographic,0.5536,0.0987,3.3791,6.1091,9632
ai_faces_1k,topographic,0.594,0.0956,2.7762,5.2381,6330
ai_faces_1k,topographic,0.638,0.0046,3.1475,5.6144,6969
ai_faces_1k,topographic,0.5828,0.0097,3.3401,5.986,8305
ai_faces_1k,topographic,0.631,0.0197,2.9539,5.3155,7446
ai_faces_1k,topographic,0.5563,0.1366,2.4524,5.8562,8429
ai_faces_1k,topographic,0.5703,0.0967,3.3805,6.157,9064
ai_faces_1k,topographic,0.5776,0.0073,3.3284,5.7062,7853
ai_faces_1k,topographic,0.5887,0.0195,3.3777,5.8981,7668
ai_faces_1k,topographic,0.7046,0.0077,1.467,4.9892,6400
ai_faces_1k,topographic,0.5752,0.0177,3.4194,6.18,9614
ai_faces_1k,topographic,0.581,0.0425,3.4271,6.0105,9287
ai_faces_1k,topographic,0.5678,0.0511,3.3811,5.8217,7630
ai_faces_1k,topographic,0.5941,0.0162,3.4026,6.1464,9626
ai_faces_1k,topographic,0.6604,0.0997,2.1397,4.6069,6015
ai_faces_1k,topographic,0.6211,0.029,3.1764,5.4302,7118
ai_faces_1k,topographic,0.6292,0.0616,3.1215,5.569,7408
ai_faces_1k,topographic,0.5929,0.0142,3.1248,5.9325,9287
ai_faces_1k,topographic,0.5893,0.0404,3.5104,6.1758,10213
ai_faces_1k,topographic,0.6286,0.1057,1.31,5.1039,6650
ai_faces_1k,topographic,0.5729,0.0504,3.4628,5.9845,8642
ai_faces_1k,topographic,0.6118,0.0231,3.3911,5.7481,7793
ai_faces_1k,topographic,0.5889,0.0406,3.3931,5.7598,8154
ai_faces_1k,topographic,0.6134,0.0537,3.2544,5.933,9473
ai_faces_1k,topographic,0.5888,0.011,3.4251,5.9784,9114
ai_faces_1k,topographic,0.6132,0.0026,2.5158,6.0178,9299
ai_faces_1k,topographic,0.5999,0.0198,3.3577,6.1152,9960
ai_faces_1k,topographic,0.5964,0.1455,2.2475,5.1778,6700
ai_faces_1k,topographic,0.5659,0.0266,3.3254,5.7794,7688
ai_faces_1k,topographic,0.5758,0.0168,3.2826,5.6063,7359
ai_faces_1k,topographic,0.5954,0.0301,3.4592,6.0393,8807
ai_faces_1k,topographic,0.5796,0.0726,3.255,5.9783,9424
ai_faces_1k,topographic,0.5856,0.0037,3.3812,5.8691,8158
ai_faces_1k,topographic,0.5978,0.0186,3.3544,6.0637,9462
ai_faces_1k,topographic,0.5804,0.0077,3.4436,6.0441,8644
ai_faces_1k,topographic,0.5935,0.0412,3.2554,6.1063,9836
ai_faces_1k,topographic,0.5834,0.0133,3.4846,6.1551,9338
ai_faces_1k,topographic,0.5763,0.0559,3.4189,6.1625,9446
ai_faces_1k,topographic,0.59,0.096,3.4224,6.0895,9933
ai_faces_1k,topographic,0.5634,0.1314,3.3375,6.1781,8236
ai_faces_1k,topographic,0.5918,0.187,1.4083,5.2812,8131
ai_faces_1k,topographic,0.5912,0.0432,3.4883,6.3776,11401
ai_faces_1k,topographic,0.6103,0.022,3.303,5.7009,7911
ai_faces_1k,topographic,0.6227,0.0174,1.6579,5.2617,6791
ai_faces_1k,topographic,0.6033,0.0029,3.3491,5.6955,7790
ai_faces_1k,topographic,0.5769,0.0177,3.5293,6.2247,10602
ai_faces_1k,topographic,0.579,0.0301,3.4223,6.2185,10260
ai_faces_1k,topographic,0.5779,0.1346,1.3453,5.4621,7488
ai_faces_1k,topographic,0.6396,0.1046,2.4528,5.0134,6652
ai_faces_1k,topographic,0.6042,0.0083,3.532,6.2395,9685
ai_faces_1k,topographic,0.5961,0.1268,2.9488,5.264,7216
ai_faces_1k,topographic,0.6413,0.0239,2.591,5.2403,6599
ai_faces_1k,topographic,0.5942,0.023,3.411,6.1309,9526
ai_faces_1k,topographic,0.5838,0.021,3.4556,6.1406,9568
ai_faces_1k,topographic,0.6136,0.07,2.3733,5.64,8011
ai_faces_1k,topographic,0.6133,0.1365,1.2912,4.8461,5844
ai_faces_1k,topographic,0.5529,0.162,1.5116,5.427,7127
ai_faces_1k,topographic,0.607,0.1371,1.0177,5.0117,6974
ai_faces_1k,topographic,0.5551,0.0773,3.2752,5.9277,8966
ai_faces_1k,topographic,0.6172,0.0508,2.748,5.7406,8277
ai_faces_1k,topographic,0.5765,0.037,3.3891,5.881,7874
ai_faces_1k,topographic,0.6003,0.007,3.4526,6.0324,8728
ai_faces_1k,topographic,0.5881,0.0423,3.3913,6.0086,9559
ai_faces_1k,topographic,0.5802,0.0083,3.4425,6.1667,9629
ai_faces_1k,topographic,0.5875,0.058,3.2866,5.6684,7573
ai_faces_1k,topographic,0.5733,0.0595,3.4226,6.0328,9020
ai_faces_1k,topographic,0.5869,0.0016,3.4316,5.9997,8620
ai_faces_1k,topographic,0.6457,0.0756,1.7297,5.3591,7446
ai_faces_1k,topographic,0.5728,0.0779,2.7673,5.2254,7119
ai_faces_1k,topographic,0.5649,0.0527,3.4494,5.8656,8489
ai_faces_1k,topographic,0.5685,0.0126,3.463,6.0486,9398
ai_faces_1k,topographic,0.5835,0.113,3.1584,5.7926,8925
ai_faces_1k,topographic,0.5807,0.058,3.1999,5.8432,8202
ai_faces_1k,topographic,0.6554,0.0158,3.1186,5.5867,8488
ai_faces_1k,topographic,0.6049,0.1131,1.1649,5.1432,7158
ai_faces_1k,topographic,0.5813,0.0683,3.4238,6.0671,9467
ai_faces_1k,topographic,0.6024,0.0278,3.4202,6.1768,9412
ai_faces_1k,topographic,0.5923,0.0155,3.4706,6.2209,9533
ai_faces_1k,topographic,0.6538,0.0523,1.3937,5.1703,7174
ai_faces_1k,topographic,0.5742,0.039,3.3588,5.8729,8234
ai_faces_1k,topographic,0.5746,0.0504,3.3563,6.0862,8863
ai_faces_1k,topographic,0.5882,0.0229,3.3991,6.1396,8789
ai_faces_1k,topographic,0.572,0.0154,3.4826,6.1497,9759
ai_faces_1k,topographic,0.5896,0.0353,1.8528,5.6785,8227
ai_faces_1k,topographic,0.5605,0.1881,3.0721,5.59,7432
ai_faces_1k,topographic,0.6548,0.0463,2.9046,5.0845,6176
ai_faces_1k,topographic,0.5869,0.0007,3.515,5.9648,9126
ai_faces_1k,topographic,0.6496,0.0931,1.5504,4.9736,7033
ai_faces_1k,topographic,0.65,0.0454,1.3656,5.2847,7103
ai_faces_1k,topographic,0.6072,0.0228,1.6017,5.2384,7026
ai_faces_1k,topographic,0.5771,0.0394,3.3611,6.0004,8404
ai_faces_1k,topographic,0.6431,0.0079,2.6795,5.1707,6316
ai_faces_1k,topographic,0.5776,0.0395,3.4187,6.4102,10834
ai_faces_1k,topographic,0.583,0.0027,3.493,6.2902,10219
ai_faces_1k,topographic,0.5713,0.0191,3.3856,6.0894,10022
ai_faces_1k,topographic,0.5789,0.0896,2.8675,5.6954,8337
ai_faces_1k,topographic,0.5977,0.0048,3.3688,5.749,7462
ai_faces_1k,topographic,0.5732,0.1119,2.9344,5.906,9735
ai_faces_1k,topographic,0.63,0.0495,1.8952,5.6213,7570
ai_faces_1k,topographic,0.6124,0.0052,3.4303,6.017,8197
ai_faces_1k,topographic,0.5814,0.1489,1.7989,5.5347,7365
ai_faces_1k,topographic,0.6423,0.017,1.8914,5.3632,7159
ai_faces_1k,topographic,0.7248,0.0142,1.2655,4.6234,5979
ai_faces_1k,topographic,0.5742,0.0147,3.4029,6.0588,9175
ai_faces_1k,topographic,0.577,0.0629,2.85,5.6742,8605
ai_faces_1k,topographic,0.5782,0.0379,3.2563,6.0092,9531
ai_faces_1k,topographic,0.5776,0.0292,3.4722,5.9725,8356
ai_faces_1k,topographic,0.5292,0.2503,1.2601,5.0925,6646
ai_faces_1k,topographic,0.5661,0.1474,2.9857,5.7457,8413
ai_faces_1k,topographic,0.577,0.0191,3.4367,6.2915,10649
ai_faces_1k,topographic,0.6058,0.0264,3.1862,5.7693,8042
ai_faces_1k,topographic,0.5048,0.3532,1.3993,4.7871,5783
ai_faces_1k,topographic,0.5627,0.1506,2.8943,5.5207,7948
ai_faces_1k,topographic,0.5954,0.053,3.3927,5.9777,9429
ai_faces_1k,topographic,0.5847,0.0233,3.3743,6.0528,8962
ai_faces_1k,topographic,0.5961,0.03,3.3763,5.9833,8592
ai_faces_1k,topographic,0.5927,0.0584,1.5289,5.5578,7328
ai_faces_1k,topographic,0.5779,0.0178,3.5309,6.1056,9035
ai_faces_1k,topographic,0.6127,0.037,3.1359,5.8582,8430
ai_faces_1k,topographic,0.5996,0.0001,3.3379,5.7953,7906
ai_faces_1k,topographic,0.5716,0.1258,3.3128,6.0627,9221
ai_faces_1k,topographic,0.6254,0.0319,1.5368,5.219,6959
ai_faces_1k,topographic,0.5657,0.0404,3.3433,6.036,9027
ai_faces_1k,topographic,0.5867,0.0205,3.3642,6.0814,9504
ai_faces_1k,topographic,0.5966,0.0163,3.4302,6.1044,9469
ai_faces_1k,topographic,0.5784,0.0052,3.4521,6.0085,8887
ai_faces_1k,topographic,0.5951,0.0052,3.4367,5.9029,7651
ai_faces_1k,topographic,0.5974,0.0754,3.2375,5.6362,7925
ai_faces_1k,topographic,0.6215,0.0105,3.3866,5.9634,8878
ai_faces_1k,topographic,0.5985,0.137,1.1149,5.243,7583
ai_faces_1k,topographic,0.6066,0.0465,2.4662,5.5317,6502
ai_faces_1k,topographic,0.5739,0.0317,3.4247,5.9216,8081
ai_faces_1k,topographic,0.565,0.0753,3.3895,6.0993,8561
ai_faces_1k,topographic,0.5937,0.0739,1.9072,5.7097,8153
