category,state,image_name,image_hash,metric,orig_val,surro_mean,surro_std,z_score,verdict,n_surrogates
ai_faces_1k,,XNJ4NC25TR.jpg,a23d7c8a261a45c25f7dc53524d4b05f,betti_0,599.0,599.0,0.0,0.0,no sep,20
ai_faces_1k,,XNJ4NC25TR.jpg,a23d7c8a261a45c25f7dc53524d4b05f,betti_1,48.0,81.35,10.522714,-3.1693,SEPARATED,20
ai_faces_1k,,XNJ4NC25TR.jpg,a23d7c8a261a45c25f7dc53524d4b05f,persistence_entropy_h1,4.0029,4.544835,0.073988,-7.3247,SEPARATED,20
ai_faces_1k,,XNJ4NC25TR.jpg,a23d7c8a261a45c25f7dc53524d4b05f,total_persistence_h1,97.0575,145.126895,5.756757,-8.3501,SEPARATED,20
ai_faces_1k,,XNJ4NC25TR.jpg,a23d7c8a261a45c25f7dc53524d4b05f,euler_mean,-8.125,3.07188,1.743987,-6.4203,SEPARATED,20
ai_faces_1k,,XNJ4NC25TR.jpg,a23d7c8a261a45c25f7dc53524d4b05f,euler_std,25.3793,35.40198,2.850502,-3.5161,SEPARATED,20
ai_faces_1k,,XNJ4NC25TR.jpg,a23d7c8a261a45c25f7dc53524d4b05f,euler_range,111.0,146.95,13.883353,-2.5894,MARGINAL,20
ai_faces_1k,,XNJ4NC25TR.jpg,a23d7c8a261a45c25f7dc53524d4b05f,bilateral_symmetry,0.8742,0.79075,0.025605,3.2591,SEPARATED,20
ai_faces_1k,,XNJ4NC25TR.jpg,a23d7c8a261a45c25f7dc53524d4b05f,f_dim,1.6549,1.88078,0.012882,-17.5351,SEPARATED,20
ai_faces_1k,,XNJ4NC25TR.jpg,a23d7c8a261a45c25f7dc53524d4b05f,lacunarity_mean,4.7148,1.90743,0.106276,26.4158,SEPARATED,20
ai_faces_1k,,XNJ4NC25TR.jpg,a23d7c8a261a45c25f7dc53524d4b05f,multifractal_width,0.0963,0.13356,0.016036,-2.3236,MARGINAL,20
ai_faces_1k,,XNJ4NC25TR.jpg,a23d7c8a261a45c25f7dc53524d4b05f,orientation_coherence,0.534,0.43856,0.004057,23.5268,SEPARATED,20
ai_faces_1k,,XNJ4NC25TR.jpg,a23d7c8a261a45c25f7dc53524d4b05f,multiscale_entropy_slope,-0.05,-0.02562,0.004288,-5.6858,SEPARATED,20
ai_faces_1k,,XNJ4NC25TR.jpg,a23d7c8a261a45c25f7dc53524d4b05f,junctions,834.0,3033.75,133.28161,-16.5045,SEPARATED,20
ai_faces_1k,,XNJ4NC25TR.jpg,a23d7c8a261a45c25f7dc53524d4b05f,clustering,0.292966,0.277076,0.002844,5.5869,SEPARATED,20
ai_faces_1k,,XNJ4NC25TR.jpg,a23d7c8a261a45c25f7dc53524d4b05f,plateau,0.826139,0.796901,0.00812,3.6008,SEPARATED,20
ai_faces_1k,,XNJ4NC25TR.jpg,a23d7c8a261a45c25f7dc53524d4b05f,entropy,7.4675,7.4675,0.0,0.0,no sep,20
ai_faces_1k,,XNJ4NC25TR.jpg,a23d7c8a261a45c25f7dc53524d4b05f,forbidden_coverage,0.0267,0.00022,0.000959,27.6133,SEPARATED,20
ai_faces_1k,,XNJ4NC25TR.jpg,a23d7c8a261a45c25f7dc53524d4b05f,tau_ratio_score,0.0,0.0,0.0,0.0,no sep,20
ai_faces_1k,,WVYKWFMVNE.jpg,1e20392d2265cb3c6d1dcb9a174b74f7,betti_0,599.0,599.0,0.0,0.0,no sep,20
ai_faces_1k,,WVYKWFMVNE.jpg,1e20392d2265cb3c6d1dcb9a174b74f7,betti_1,38.0,93.25,10.034316,-5.5061,SEPARATED,20
ai_faces_1k,,WVYKWFMVNE.jpg,1e20392d2265cb3c6d1dcb9a174b74f7,persistence_entropy_h1,4.0281,4.63049,0.052307,-11.5164,SEPARATED,20
ai_faces_1k,,WVYKWFMVNE.jpg,1e20392d2265cb3c6d1dcb9a174b74f7,total_persistence_h1,95.9797,151.25222,4.546891,-12.1561,SEPARATED,20
ai_faces_1k,,WVYKWFMVNE.jpg,1e20392d2265cb3c6d1dcb9a174b74f7,euler_mean,-2.0312,-0.46876,1.808148,-0.8641,no sep,20
ai_faces_1k,,WVYKWFMVNE.jpg,1e20392d2265cb3c6d1dcb9a174b74f7,euler_std,19.8785,28.48836,2.410064,-3.5725,SEPARATED,20
ai_faces_1k,,WVYKWFMVNE.jpg,1e20392d2265cb3c6d1dcb9a174b74f7,euler_range,93.0,100.05,12.026949,-0.5862,no sep,20
ai_faces_1k,,WVYKWFMVNE.jpg,1e20392d2265cb3c6d1dcb9a174b74f7,bilateral_symmetry,0.6973,0.727045,0.037798,-0.7869,no sep,20
ai_faces_1k,,WVYKWFMVNE.jpg,1e20392d2265cb3c6d1dcb9a174b74f7,f_dim,1.6917,1.88499,0.006186,-31.2475,SEPARATED,20
ai_faces_1k,,WVYKWFMVNE.jpg,1e20392d2265cb3c6d1dcb9a174b74f7,lacunarity_mean,4.4163,1.912295,0.04341,57.6825,SEPARATED,20
ai_faces_1k,,WVYKWFMVNE.jpg,1e20392d2265cb3c6d1dcb9a174b74f7,multifractal_width,0.2815,0.395145,0.077461,-1.4671,no sep,20
ai_faces_1k,,WVYKWFMVNE.jpg,1e20392d2265cb3c6d1dcb9a174b74f7,orientation_coherence,0.5645,0.473465,0.003223,28.2488,SEPARATED,20
ai_faces_1k,,WVYKWFMVNE.jpg,1e20392d2265cb3c6d1dcb9a174b74f7,multiscale_entropy_slope,-0.0458,-0.00877,0.004552,-8.1354,SEPARATED,20
ai_faces_1k,,WVYKWFMVNE.jpg,1e20392d2265cb3c6d1dcb9a174b74f7,junctions,1212.0,3268.0,109.527622,-18.7715,SEPARATED,20
ai_faces_1k,,WVYKWFMVNE.jpg,1e20392d2265cb3c6d1dcb9a174b74f7,clustering,0.274752,0.272672,0.00251,0.829,no sep,20
ai_faces_1k,,WVYKWFMVNE.jpg,1e20392d2265cb3c6d1dcb9a174b74f7,plateau,0.79703,0.786211,0.009136,1.1842,no sep,20
ai_faces_1k,,WVYKWFMVNE.jpg,1e20392d2265cb3c6d1dcb9a174b74f7,entropy,7.6125,7.6125,0.0,0.0,no sep,20
