category,state,metric,n_images,n_separated,n_marginal,sep_rate,mean_abs_z
ai_faces_1k,,betti_0,29,0,0,0.0,0.0419
ai_faces_1k,,betti_1,30,17,8,0.5667,3.7378
ai_faces_1k,,persistence_entropy_h1,30,24,3,0.8,5.8135
ai_faces_1k,,total_persistence_h1,30,24,3,0.8,4.9504
ai_faces_1k,,euler_mean,30,19,2,0.6333,4.5765
ai_faces_1k,,euler_std,30,18,2,0.6,4.6104
ai_faces_1k,,euler_range,30,11,4,0.3667,2.6562
ai_faces_1k,,bilateral_symmetry,30,6,9,0.2,2.1372
ai_faces_1k,,f_dim,30,30,0,1.0,23.8757
ai_faces_1k,,lacunarity_mean,30,30,0,1.0,39.6713
ai_faces_1k,,multifractal_width,30,4,6,0.1333,1.9002
ai_faces_1k,,orientation_coherence,30,30,0,1.0,50.5205
ai_faces_1k,,multiscale_entropy_slope,30,21,3,0.7,6.1097
ai_faces_1k,,junctions,30,30,0,1.0,16.7789
ai_faces_1k,,clustering,30,10,4,0.3333,2.5607
ai_faces_1k,,plateau,30,7,4,0.2333,2.1145
ai_faces_1k,,entropy,30,0,0,0.0,0.0
ai_faces_1k,,forbidden_coverage,19,19,0,1.0,50.1025
ai_faces_1k,,tau_ratio_score,30,0,0,0.0,0.0
amorphous,,betti_0,5,0,0,0.0,0.0
amorphous,,betti_1,5,0,0,0.0,0.9441
amorphous,,persistence_entropy_h1,5,0,1,0.0,0.9947
amorphous,,total_persistence_h1,5,0,0,0.0,0.8026
amorphous,,euler_mean,5,3,0,0.6,3.2461
amorphous,,euler_std,5,5,0,1.0,4.929
amorphous,,euler_range,5,4,0,0.8,3.1746
amorphous,,bilateral_symmetry,5,1,2,0.2,1.7701
amorphous,,f_dim,5,4,0,0.8,6.1124
amorphous,,lacunarity_mean,5,4,0,0.8,9.4566
amorphous,,multifractal_width,5,0,0,0.0,0.8105
amorphous,,orientation_coherence,5,3,1,0.6,3.8761
amorphous,,multiscale_entropy_slope,5,0,1,0.0,1.2107
amorphous,,junctions,5,1,2,0.2,1.913
amorphous,,clustering,5,0,1,0.0,1.4104
amorphous,,plateau,5,1,1,0.2,1.3987
amorphous,,entropy,5,0,0,0.0,0.0
amorphous,,forbidden_coverage,4,2,0,0.5,11.5135
amorphous,,tau_ratio_score,5,0,0,0.0,0.0
coral (bleached),,betti_0,29,0,0,0.0,0.0277
coral (bleached),,betti_1,30,7,6,0.2333,2.0974
coral (bleached),,persistence_entropy_h1,30,7,8,0.2333,2.3123
coral (bleached),,total_persistence_h1,30,7,7,0.2333,2.3391
coral (bleached),,euler_mean,30,14,3,0.4667,4.2724
coral (bleached),,euler_std,30,21,4,0.7,7.5127
coral (bleached),,euler_range,30,17,4,0.5667,4.4347
coral (bleached),,bilateral_symmetry,30,2,5,0.0667,1.2676
coral (bleached),,f_dim,30,25,2,0.8333,27.6027
coral (bleached),,lacunarity_mean,30,26,2,0.8667,31.4675
coral (bleached),,multifractal_width,30,6,1,0.2,1.8084
coral (bleached),,orientation_coherence,30,30,0,1.0,27.2064
coral (bleached),,multiscale_entropy_slope,30,7,4,0.2333,1.9762
coral (bleached),,junctions,30,24,3,0.8,7.3625
coral (bleached),,clustering,30,11,3,0.3667,2.0956
coral (bleached),,plateau,30,0,5,0.0,1.2754
coral (bleached),,entropy,30,0,0,0.0,0.0
coral (bleached),,forbidden_coverage,26,26,0,1.0,75.3999
coral (bleached),,tau_ratio_score,30,0,0,0.0,0.0
coral (healthy),,betti_0,30,1,0,0.0333,0.4296
coral (healthy),,betti_1,30,13,4,0.4333,3.2606
coral (healthy),,persistence_entropy_h1,30,14,6,0.4667,3.0661
coral (healthy),,total_persistence_h1,30,17,7,0.5667,3.8223
coral (healthy),,euler_mean,30,13,5,0.4333,4.024
coral (healthy),,euler_std,30,26,0,0.8667,8.2464
coral (healthy),,euler_range,30,24,0,0.8,4.806
coral (healthy),,bilateral_symmetry,30,3,5,0.1,1.5434
coral (healthy),,f_dim,30,26,2,0.8667,69.5923
coral (healthy),,lacunarity_mean,30,28,1,0.9333,69.5084
coral (healthy),,multifractal_width,30,5,2,0.1667,1.8196
coral (healthy),,orientation_coherence,30,30,0,1.0,44.9885
coral (healthy),,multiscale_entropy_slope,30,9,6,0.3,3.011
coral (healthy),,junctions,30,28,0,0.9333,8.2676
coral (healthy),,clustering,30,2,5,0.0667,1.4884
coral (healthy),,plateau,30,3,3,0.1,1.1488
coral (healthy),,entropy,30,0,0,0.0,0.0
coral (healthy),,forbidden_coverage,29,27,0,0.931,63.1912
coral (healthy),,tau_ratio_score,27,0,0,0.0,0.0
crystal,,betti_0,7,0,0,0.0,0.0874
crystal,,betti_1,7,1,1,0.1429,1.5617
crystal,,persistence_entropy_h1,7,1,1,0.1429,1.4823
crystal,,total_persistence_h1,7,1,0,0.1429,1.4368
crystal,,euler_mean,7,3,0,0.4286,7.3016
crystal,,euler_std,7,3,1,0.4286,8.1657
crystal,,euler_range,7,3,1,0.4286,5.7302
crystal,,bilateral_symmetry,7,0,3,0.0,1.6754
crystal,,f_dim,7,6,0,0.8571,13.6855
crystal,,lacunarity_mean,7,6,0,0.8571,15.393
crystal,,multifractal_width,7,2,1,0.2857,2.7389
crystal,,orientation_coherence,7,5,1,0.7143,6.2357
crystal,,multiscale_entropy_slope,7,1,3,0.1429,5.4798
crystal,,junctions,7,5,0,0.7143,10.5598
crystal,,clustering,7,3,1,0.4286,8.1742
crystal,,plateau,7,2,2,0.2857,3.0952
crystal,,entropy,7,0,0,0.0,0.0
crystal,,forbidden_coverage,6,2,0,0.3333,7.4188
crystal,,tau_ratio_score,7,0,0,0.0,0.0
faces (FG-NET),,betti_0,27,3,0,0.1111,1.0641
faces (FG-NET),,betti_1,30,11,6,0.3667,2.6705
faces (FG-NET),,persistence_entropy_h1,30,19,4,0.6333,4.8624
faces (FG-NET),,total_persistence_h1,30,18,3,0.6,3.5575
faces (FG-NET),,euler_mean,30,11,5,0.3667,3.3331
faces (FG-NET),,euler_std,30,16,2,0.5333,4.0462
faces (FG-NET),,euler_range,30,15,5,0.5,3.5224
faces (FG-NET),,bilateral_symmetry,30,6,12,0.2,2.248
faces (FG-NET),,f_dim,30,20,1,0.6667,19.0963
faces (FG-NET),,lacunarity_mean,30,21,1,0.7,68.6245
faces (FG-NET),,multifractal_width,30,9,8,0.3,2.316
faces (FG-NET),,orientation_coherence,30,24,2,0.8,12.1845
faces (FG-NET),,multiscale_entropy_slope,30,26,2,0.8667,6.4167
faces (FG-NET),,junctions,30,29,1,0.9667,7.6651
faces (FG-NET),,clustering,30,3,6,0.1,1.4175
faces (FG-NET),,plateau,30,4,3,0.1333,1.4657
faces (FG-NET),,entropy,30,0,0,0.0,0.0
faces (FG-NET),,forbidden_coverage,28,26,0,0.9286,71.6209
faces (FG-NET),,tau_ratio_score,30,0,0,0.0,0.0
quasicrystal,,betti_0,3,0,0,0.0,0.5345
quasicrystal,,betti_1,3,1,0,0.3333,2.4215
quasicrystal,,persistence_entropy_h1,3,1,0,0.3333,1.8116
quasicrystal,,total_persistence_h1,3,2,0,0.6667,2.9428
quasicrystal,,euler_mean,3,1,0,0.3333,5.1507
quasicrystal,,euler_std,3,2,0,0.6667,4.2327
quasicrystal,,euler_range,3,1,0,0.3333,2.0914
quasicrystal,,bilateral_symmetry,3,1,0,0.3333,2.5812
quasicrystal,,f_dim,3,2,0,0.6667,13.5697
quasicrystal,,lacunarity_mean,3,2,0,0.6667,16.1934
quasicrystal,,multifractal_width,3,2,1,0.6667,11.7019
quasicrystal,,orientation_coherence,3,3,0,1.0,14.1909
quasicrystal,,multiscale_entropy_slope,3,1,1,0.3333,2.3744
quasicrystal,,junctions,3,3,0,1.0,12.8563
quasicrystal,,clustering,3,3,0,1.0,8.344
quasicrystal,,plateau,3,2,1,0.6667,7.3531
quasicrystal,,entropy,3,0,0,0.0,0.0
quasicrystal,,forbidden_coverage,2,0,0,0.0,0.2814
quasicrystal,,tau_ratio_score,3,0,0,0.0,0.0
real_faces_1k,,betti_0,30,0,0,0.0,0.0186
real_faces_1k,,betti_1,30,18,6,0.6,3.2963
real_faces_1k,,persistence_entropy_h1,30,23,5,0.7667,5.1476
real_faces_1k,,total_persistence_h1,30,24,4,0.8,4.9533
real_faces_1k,,euler_mean,30,12,8,0.4,2.9351
real_faces_1k,,euler_std,30,23,3,0.7667,5.6368
real_faces_1k,,euler_range,30,15,5,0.5,3.1479
real_faces_1k,,bilateral_symmetry,30,8,6,0.2667,2.3977
real_faces_1k,,f_dim,30,29,0,0.9667,23.9094
real_faces_1k,,lacunarity_mean,30,29,0,0.9667,40.5703
real_faces_1k,,multifractal_width,30,5,8,0.1667,1.8808
real_faces_1k,,orientation_coherence,30,30,0,1.0,60.2508
real_faces_1k,,multiscale_entropy_slope,30,22,1,0.7333,7.173
real_faces_1k,,junctions,30,30,0,1.0,15.4139
real_faces_1k,,clustering,30,11,6,0.3667,2.72
real_faces_1k,,plateau,30,10,5,0.3333,2.4905
real_faces_1k,,entropy,30,0,0,0.0,0.0
real_faces_1k,,forbidden_coverage,12,12,0,1.0,66.4528
real_faces_1k,,tau_ratio_score,30,0,0,0.0,0.0
